Number,Name,Trimmed Name,Assists,Goals,Ds,Turnovers,Team,Home/Away,Week,Opponent
9,Amanda Giles,Amanda Giles,0,0,2,3,Nashville Nightshade,Away,5,ATX
9,Amanda Giles,Amanda Giles,1,,1,2,Nashville Nightshade,Home,9,IND
9,Amanda Giles,Amanda Giles,3,1,0,0,Nashville Nightshade,Away,10,ATL
9,Amanda Giles,Amanda Giles,2,,2,1,Nashville Nightshade,Away,3,CBUS
4,Ashley West,Ashley West,0,0,0,0,Nashville Nightshade,Home,4,MIN
4,Ashley West,Ashley West,0,0,0,0,Nashville Nightshade,Away,5,ATX
4,Ashley West,Ashley West,,,,,Nashville Nightshade,Home,8,RAL
4,Ashley West,Ashley West,,,,,Nashville Nightshade,Home,9,IND
4,Ashley West,Ashley West,0,0,0,0,Nashville Nightshade,Away,10,ATL
4,Ashley West,Ashley West,,,,1,Nashville Nightshade,Away,3,CBUS
17,Boost Barr,Boost Barr,,1,1,1,Nashville Nightshade,Away,3,CBUS
21,Elena Rubino,Elena Rubino,2,0,3,0,Nashville Nightshade,Home,4,MIN
21,Elena Rubino,Elena Rubino,0,1,5,0,Nashville Nightshade,Away,5,ATX
21,Elena Rubino,Elena Rubino,,1,,1,Nashville Nightshade,Home,9,IND
21,Elena Rubino,Elena Rubino,0,1,0,2,Nashville Nightshade,Away,10,ATL
21,Elena Rubino,Elena Rubino,,1,2,,Nashville Nightshade,Away,3,CBUS
16,Emily Branson,Emily Branson,2,0,1,0,Nashville Nightshade,Home,4,MIN
16,Emily Branson,Emily Branson,,1,1,,Nashville Nightshade,Home,8,RAL
16,Emily Branson,Emily Branson,0,0,1,2,Nashville Nightshade,Away,10,ATL
16,Emily Branson,Emily Branson,,1,,2,Nashville Nightshade,Away,3,CBUS
23,Grace Fielder,Grace Fielder,0,0,0,0,Nashville Nightshade,Away,5,ATX
23,Grace Fielder,Grace Fielder,,,,,Nashville Nightshade,Home,8,RAL
23,Grace Fielder,Grace Fielder,,1,,1,Nashville Nightshade,Home,9,IND
23,Grace Fielder,Grace Fielder,0,0,0,1,Nashville Nightshade,Away,10,ATL
23,Grace Fielder,Grace Fielder,,1,,,Nashville Nightshade,Away,3,CBUS
30,Jenn Stewart,Jenn Stewart,0,1,0,2,Nashville Nightshade,Home,4,MIN
30,Jenn Stewart,Jenn Stewart,1,0,0,1,Nashville Nightshade,Away,5,ATX
30,Jenn Stewart,Jenn Stewart,,1,,1,Nashville Nightshade,Home,8,RAL
30,Jenn Stewart,Jenn Stewart,,,1,5,Nashville Nightshade,Home,9,IND
30,Jenn Stewart,Jenn Stewart,0,0,2,2,Nashville Nightshade,Away,10,ATL
30,Jenn Stewart,Jenn Stewart,1,,,1,Nashville Nightshade,Away,3,CBUS
2,Jesse Shofner,Jesse Shofner,5,1,0,6,Nashville Nightshade,Away,5,ATX
2,Jesse Shofner,Jesse Shofner,9,1,3,4,Nashville Nightshade,Home,8,RAL
2,Jesse Shofner,Jesse Shofner,,,,,Nashville Nightshade,Home,9,IND
2,Jesse Shofner,Jesse Shofner,0,0,0,0,Nashville Nightshade,Away,10,ATL
2,Jesse Shofner,Jesse Shofner,7,3,,9,Nashville Nightshade,Away,3,CBUS
27,Katharine Gilbert,Katharine Gilbert,0,0,0,5,Nashville Nightshade,Home,4,MIN
27,Katharine Gilbert,Katharine Gilbert,1,0,0,4,Nashville Nightshade,Away,5,ATX
27,Katharine Gilbert,Katharine Gilbert,,,,2,Nashville Nightshade,Home,8,RAL
27,Katharine Gilbert,Katharine Gilbert,3,0,0,4,Nashville Nightshade,Away,10,ATL
27,Katharine Gilbert,Katharine Gilbert,,,,4,Nashville Nightshade,Away,3,CBUS
14,Kayla Ferguson,Kayla Ferguson,0,2,2,3,Nashville Nightshade,Home,4,MIN
14,Kayla Ferguson,Kayla Ferguson,1,2,1,2,Nashville Nightshade,Away,5,ATX
14,Kayla Ferguson,Kayla Ferguson,1,2,,,Nashville Nightshade,Home,8,RAL
14,Kayla Ferguson,Kayla Ferguson,0,0,1,6,Nashville Nightshade,Away,10,ATL
14,Kayla Ferguson,Kayla Ferguson,2,,1,1,Nashville Nightshade,Away,3,CBUS
26,Leah Shorb,Leah Shorb,0,0,0,0,Nashville Nightshade,Home,4,MIN
26,Leah Shorb,Leah Shorb,0,0,0,0,Nashville Nightshade,Away,5,ATX
26,Leah Shorb,Leah Shorb,,,,,Nashville Nightshade,Home,8,RAL
26,Leah Shorb,Leah Shorb,,,,,Nashville Nightshade,Home,9,IND
26,Leah Shorb,Leah Shorb,0,0,1,0,Nashville Nightshade,Away,10,ATL
26,Leah Shorb,Leah Shorb,,,,,Nashville Nightshade,Away,3,CBUS
8,Margie Quinn,Margie Quinn,1,2,2,6,Nashville Nightshade,Home,4,MIN
8,Margie Quinn,Margie Quinn,,,,1,Nashville Nightshade,Home,8,RAL
8,Margie Quinn,Margie Quinn,,1,1,5,Nashville Nightshade,Home,9,IND
8,Margie Quinn,Margie Quinn,2,0,0,2,Nashville Nightshade,Away,10,ATL
77,Melissa Gronske,Melissa Gronske,0,2,0,0,Nashville Nightshade,Away,5,ATX
77,Melissa Gronske,Melissa Gronske,,2,,1,Nashville Nightshade,Home,8,RAL
77,Melissa Gronske,Melissa Gronske,,,1,1,Nashville Nightshade,Home,9,IND
77,Melissa Gronske,Melissa Gronske,0,0,0,0,Nashville Nightshade,Away,10,ATL
77,Melissa Gronske,Melissa Gronske,,,,,Nashville Nightshade,Away,3,CBUS
3,Metta Devine-Qin,Metta Devine-Qin,0,0,0,0,Nashville Nightshade,Home,4,MIN
3,Metta Devine-Qin,Metta Devine-Qin,,,,2,Nashville Nightshade,Home,8,RAL
3,Metta Devine-Qin,Metta Devine-Qin,,,,,Nashville Nightshade,Home,9,IND
3,Metta Devine-Qin,Metta Devine-Qin,0,0,0,0,Nashville Nightshade,Away,10,ATL
3,Metta Devine-Qin,Metta Devine-Qin,,,1,1,Nashville Nightshade,Away,3,CBUS
24,Mia Letterie,Mia Letterie,1,0,1,5,Nashville Nightshade,Home,4,MIN
24,Mia Letterie,Mia Letterie,1,0,0,4,Nashville Nightshade,Away,5,ATX
24,Mia Letterie,Mia Letterie,,1,1,1,Nashville Nightshade,Home,8,RAL
24,Mia Letterie,Mia Letterie,,,,2,Nashville Nightshade,Home,9,IND
24,Mia Letterie,Mia Letterie,0,1,0,0,Nashville Nightshade,Away,10,ATL
24,Mia Letterie,Mia Letterie,,,,,Nashville Nightshade,Away,3,CBUS
18,Morgan Butts,Morgan Butts,0,0,1,0,Nashville Nightshade,Away,5,ATX
18,Morgan Butts,Morgan Butts,,,,,Nashville Nightshade,Home,8,RAL
18,Morgan Butts,Morgan Butts,,,,1,Nashville Nightshade,Home,9,IND
18,Morgan Butts,Morgan Butts,0,1,0,0,Nashville Nightshade,Away,10,ATL
18,Morgan Butts,Morgan Butts,,1,,,Nashville Nightshade,Away,3,CBUS
25,Nadine Rowen,Nadine Rowen,1,1,0,0,Nashville Nightshade,Home,4,MIN
25,Nadine Rowen,Nadine Rowen,0,0,3,1,Nashville Nightshade,Away,5,ATX
25,Nadine Rowen,Nadine Rowen,1,,3,2,Nashville Nightshade,Home,9,IND
25,Nadine Rowen,Nadine Rowen,1,3,4,,Nashville Nightshade,Away,3,CBUS
20,Noel Holmes,Noel Holmes,0,0,1,4,Nashville Nightshade,Home,4,MIN
20,Noel Holmes,Noel Holmes,0,0,0,1,Nashville Nightshade,Away,5,ATX
20,Noel Holmes,Noel Holmes,,,,2,Nashville Nightshade,Home,8,RAL
20,Noel Holmes,Noel Holmes,1,,,1,Nashville Nightshade,Home,9,IND
20,Noel Holmes,Noel Holmes,0,1,0,1,Nashville Nightshade,Away,10,ATL
20,Noel Holmes,Noel Holmes,,,,2,Nashville Nightshade,Away,3,CBUS
17,Rachel Barr,Rachel Barr,1,0,0,0,Nashville Nightshade,Home,4,MIN
17,Rachel Barr,Rachel Barr,0,0,1,0,Nashville Nightshade,Away,5,ATX
17,Rachel Barr,Rachel Barr,,,,,Nashville Nightshade,Home,8,RAL
17,Rachel Barr,Rachel Barr,,1,,,Nashville Nightshade,Home,9,IND
17,Rachel Barr,Rachel Barr,0,1,0,0,Nashville Nightshade,Away,10,ATL
42,Rachel Kramer,Rachel Kramer,4,2,0,4,Nashville Nightshade,Home,4,MIN
42,Rachel Kramer,Rachel Kramer,2,6,3,5,Nashville Nightshade,Away,5,ATX
42,Rachel Kramer,Rachel Kramer,5,2,,1,Nashville Nightshade,Home,8,RAL
42,Rachel Kramer,Rachel Kramer,3,3,2,9,Nashville Nightshade,Home,9,IND
42,Rachel Kramer,Rachel Kramer,1,4,0,5,Nashville Nightshade,Away,10,ATL
42,Rachel Kramer,Rachel Kramer,4,6,2,3,Nashville Nightshade,Away,3,CBUS
22,Rebecca Henley,Rebecca Henley,0,0,1,1,Nashville Nightshade,Home,4,MIN
22,Rebecca Henley,Rebecca Henley,1,3,1,1,Nashville Nightshade,Away,5,ATX
22,Rebecca Henley,Rebecca Henley,1,6,,2,Nashville Nightshade,Home,8,RAL
22,Rebecca Henley,Rebecca Henley,1,1,3,2,Nashville Nightshade,Home,9,IND
22,Rebecca Henley,Rebecca Henley,2,2,0,0,Nashville Nightshade,Away,10,ATL
22,Rebecca Henley,Rebecca Henley,2,3,,,Nashville Nightshade,Away,3,CBUS
10,Tori Taylor,Tori Taylor,1,3,2,3,Nashville Nightshade,Home,4,MIN
10,Tori Taylor,Tori Taylor,5,2,2,3,Nashville Nightshade,Away,5,ATX
10,Tori Taylor,Tori Taylor,2,2,,,Nashville Nightshade,Home,8,RAL
10,Tori Taylor,Tori Taylor,1,1,2,4,Nashville Nightshade,Home,9,IND
10,Tori Taylor,Tori Taylor,4,3,4,3,Nashville Nightshade,Away,10,ATL
10,Tori Taylor,Tori Taylor,1,,,3,Nashville Nightshade,Away,3,CBUS
3,Abby Cheng,Abby Cheng,,2,,1,New York Gridlock,Away,2,PHL
3,Abby Cheng,Abby Cheng,0,0,2,3,New York Gridlock,Home,8,DC
3,Abby Cheng,Abby Cheng,0,0,1,3,New York Gridlock,Home,10,ATX
27,Akina Younge,Akina Younge,0,0,0,0,New York Gridlock,Away,6,MIN
27,Akina Younge,Akina Younge,1,1,0,1,New York Gridlock,Away,6,MKE
27,Akina Younge,Akina Younge,0,0,0,0,New York Gridlock,Home,8,DC
27,Akina Younge,Akina Younge,1,1,1,0,New York Gridlock,Home,10,ATX
12,Amy Zhou,Amy Zhou,,,,2,New York Gridlock,Away,2,PHL
12,Amy Zhou,Amy Zhou,2,1,1,0,New York Gridlock,Home,5,POR
12,Amy Zhou,Amy Zhou,1,2,0,0,New York Gridlock,Away,6,MIN
12,Amy Zhou,Amy Zhou,1,2,3,3,New York Gridlock,Away,6,MKE
12,Amy Zhou,Amy Zhou,2,4,0,0,New York Gridlock,Home,8,DC
12,Amy Zhou,Amy Zhou,1,0,1,2,New York Gridlock,Home,10,ATX
28,Angela Zhu,Angela Zhu,2,,2,2,New York Gridlock,Away,2,PHL
28,Angela Zhu,Angela Zhu,0,1,0,0,New York Gridlock,Home,5,POR
1,Anna Wysen,Anna Wysen,,,,,New York Gridlock,Away,2,PHL
1,Anna Wysen,Anna Wysen,0,0,0,0,New York Gridlock,Home,5,POR
1,Anna Wysen,Anna Wysen,0,0,0,0,New York Gridlock,Away,6,MIN
1,Anna Wysen,Anna Wysen,0,0,1,2,New York Gridlock,Away,6,MKE
1,Anna Wysen,Anna Wysen,0,0,0,1,New York Gridlock,Home,8,DC
1,Anna Wysen,Anna Wysen,0,0,0,5,New York Gridlock,Home,10,ATX
9,Becky Malinowski,Becky Malinowski,1,2,,,New York Gridlock,Away,2,PHL
9,Becky Malinowski,Becky Malinowski,0,1,0,2,New York Gridlock,Home,5,POR
9,Becky Malinowski,Becky Malinowski,0,0,0,2,New York Gridlock,Away,6,MIN
9,Becky Malinowski,Becky Malinowski,0,0,4,1,New York Gridlock,Away,6,MKE
9,Becky Malinowski,Becky Malinowski,0,0,0,3,New York Gridlock,Home,8,DC
9,Becky Malinowski,Becky Malinowski,0,1,0,1,New York Gridlock,Home,10,ATX
2,Brittany Kaplan,Brittany Kaplan,,,,,New York Gridlock,Away,2,PHL
2,Brittany Kaplan,Brittany Kaplan,0,1,0,0,New York Gridlock,Away,6,MIN
2,Brittany Kaplan,Brittany Kaplan,0,0,0,0,New York Gridlock,Away,6,MKE
2,Brittany Kaplan,Brittany Kaplan,1,0,0,1,New York Gridlock,Home,8,DC
2,Brittany Kaplan,Brittany Kaplan,0,0,1,3,New York Gridlock,Home,10,ATX
26,Cara Sieber,Cara Sieber,2,1,,,New York Gridlock,Away,2,PHL
26,Cara Sieber,Cara Sieber,3,1,1,2,New York Gridlock,Home,5,POR
26,Cara Sieber,Cara Sieber,0,0,0,3,New York Gridlock,Away,6,MIN
26,Cara Sieber,Cara Sieber,0,1,1,2,New York Gridlock,Away,6,MKE
26,Cara Sieber,Cara Sieber,0,1,0,0,New York Gridlock,Home,8,DC
26,Cara Sieber,Cara Sieber,1,2,0,1,New York Gridlock,Home,10,ATX
15,Elizabeth Mosquera,Elizabeth Mosquera,3,0,1,1,New York Gridlock,Home,5,POR
15,Elizabeth Mosquera,Elizabeth Mosquera,0,2,1,1,New York Gridlock,Away,6,MIN
33,Emily Barrett,Emily Barrett,1,,2,1,New York Gridlock,Away,2,PHL
33,Emily Barrett,Emily Barrett,0,3,0,0,New York Gridlock,Home,5,POR
33,Emily Barrett,Emily Barrett,0,1,0,2,New York Gridlock,Away,6,MIN
33,Emily Barrett,Emily Barrett,1,3,2,1,New York Gridlock,Away,6,MKE
33,Emily Barrett,Emily Barrett,1,5,0,1,New York Gridlock,Home,8,DC
33,Emily Barrett,Emily Barrett,1,3,0,1,New York Gridlock,Home,10,ATX
0,Genny De Jesus,Genny De Jesus,2,1,,1,New York Gridlock,Away,2,PHL
0,Genny De Jesus,Genny De Jesus,3,4,0,0,New York Gridlock,Home,5,POR
0,Genny De Jesus,Genny De Jesus,0,4,2,4,New York Gridlock,Away,6,MIN
0,Genny De Jesus,Genny De Jesus,1,2,0,1,New York Gridlock,Away,6,MKE
0,Genny De Jesus,Genny De Jesus,2,3,0,3,New York Gridlock,Home,8,DC
0,Genny De Jesus,Genny De Jesus,0,3,1,4,New York Gridlock,Home,10,ATX
66,Janine Hlavaty,Janine Hlavaty,,1,,,New York Gridlock,Away,2,PHL
66,Janine Hlavaty,Janine Hlavaty,1,1,1,0,New York Gridlock,Home,5,POR
66,Janine Hlavaty,Janine Hlavaty,0,1,0,3,New York Gridlock,Away,6,MIN
66,Janine Hlavaty,Janine Hlavaty,3,1,0,2,New York Gridlock,Away,6,MKE
66,Janine Hlavaty,Janine Hlavaty,1,0,1,1,New York Gridlock,Home,8,DC
66,Janine Hlavaty,Janine Hlavaty,1,3,0,0,New York Gridlock,Home,10,ATX
8,Kelly Hyland,Kelly Hyland,2,2,,,New York Gridlock,Away,2,PHL
8,Kelly Hyland,Kelly Hyland,0,2,0,0,New York Gridlock,Home,5,POR
48,Lisa Kowalski,Lisa Kowalski,,,2,,New York Gridlock,Away,2,PHL
48,Lisa Kowalski,Lisa Kowalski,1,0,0,3,New York Gridlock,Home,5,POR
48,Lisa Kowalski,Lisa Kowalski,2,0,2,1,New York Gridlock,Away,6,MIN
48,Lisa Kowalski,Lisa Kowalski,0,1,1,1,New York Gridlock,Away,6,MKE
48,Lisa Kowalski,Lisa Kowalski,0,0,2,4,New York Gridlock,Home,8,DC
48,Lisa Kowalski,Lisa Kowalski,2,0,3,1,New York Gridlock,Home,10,ATX
7,Luisa Neves,Luisa Neves,,,,4,New York Gridlock,Away,2,PHL
7,Luisa Neves,Luisa Neves,0,2,0,1,New York Gridlock,Home,5,POR
7,Luisa Neves,Luisa Neves,1,2,0,0,New York Gridlock,Away,6,MIN
7,Luisa Neves,Luisa Neves,2,0,1,0,New York Gridlock,Away,6,MKE
7,Luisa Neves,Luisa Neves,0,0,1,1,New York Gridlock,Home,8,DC
7,Luisa Neves,Luisa Neves,0,0,1,0,New York Gridlock,Home,10,ATX
88,Nikki Hair,Nikki Hair,,,,,New York Gridlock,Away,2,PHL
88,Nikki Hair,Nikki Hair,0,0,1,0,New York Gridlock,Home,5,POR
88,Nikki Hair,Nikki Hair,0,0,0,0,New York Gridlock,Away,6,MIN
88,Nikki Hair,Nikki Hair,1,0,1,1,New York Gridlock,Away,6,MKE
88,Nikki Hair,Nikki Hair,0,0,0,1,New York Gridlock,Home,8,DC
88,Nikki Hair,Nikki Hair,0,0,1,1,New York Gridlock,Home,10,ATX
96,Nina Finley,Nina Finley,2,1,3,1,New York Gridlock,Away,2,PHL
96,Nina Finley,Nina Finley,1,0,0,1,New York Gridlock,Home,5,POR
96,Nina Finley,Nina Finley,0,0,0,3,New York Gridlock,Away,6,MIN
96,Nina Finley,Nina Finley,0,0,0,1,New York Gridlock,Away,6,MKE
96,Nina Finley,Nina Finley,1,1,0,0,New York Gridlock,Home,8,DC
96,Nina Finley,Nina Finley,1,1,2,0,New York Gridlock,Home,10,ATX
11,Nola Kim-Mayer,Nola Kim-Mayer,,,,,New York Gridlock,Away,2,PHL
11,Nola Kim-Mayer,Nola Kim-Mayer,0,1,0,0,New York Gridlock,Home,5,POR
11,Nola Kim-Mayer,Nola Kim-Mayer,1,1,0,0,New York Gridlock,Away,6,MIN
11,Nola Kim-Mayer,Nola Kim-Mayer,1,0,2,5,New York Gridlock,Away,6,MKE
11,Nola Kim-Mayer,Nola Kim-Mayer,0,0,0,0,New York Gridlock,Home,8,DC
11,Nola Kim-Mayer,Nola Kim-Mayer,0,2,3,2,New York Gridlock,Home,10,ATX
6,Renata Pepi,Renata Pepi,,,,,New York Gridlock,Away,2,PHL
6,Renata Pepi,Renata Pepi,0,0,1,0,New York Gridlock,Home,5,POR
6,Renata Pepi,Renata Pepi,0,0,0,1,New York Gridlock,Away,6,MIN
6,Renata Pepi,Renata Pepi,1,0,1,0,New York Gridlock,Away,6,MKE
6,Renata Pepi,Renata Pepi,0,0,1,1,New York Gridlock,Home,8,DC
6,Renata Pepi,Renata Pepi,1,0,0,1,New York Gridlock,Home,10,ATX
74,Sam Harris,Sam Harris,0,0,3,1,New York Gridlock,Home,8,DC
74,Sam Harris,Sam Harris,0,1,4,1,New York Gridlock,Home,10,ATX
4,Stazi Tangherlini,Stazi Tangherlini,0,1,1,1,New York Gridlock,Home,5,POR
4,Stazi Tangherlini,Stazi Tangherlini,0,0,1,1,New York Gridlock,Away,6,MIN
4,Stazi Tangherlini,Stazi Tangherlini,2,0,1,1,New York Gridlock,Away,6,MKE
4,Stazi Tangherlini,Stazi Tangherlini,1,1,1,3,New York Gridlock,Home,8,DC
4,Stazi Tangherlini,Stazi Tangherlini,2,0,2,4,New York Gridlock,Home,10,ATX
52,Sydney Harris,Sydney Harris,0,0,0,0,New York Gridlock,Home,5,POR
52,Sydney Harris,Sydney Harris,0,0,0,0,New York Gridlock,Away,6,MIN
52,Sydney Harris,Sydney Harris,0,0,2,0,New York Gridlock,Away,6,MKE
52,Sydney Harris,Sydney Harris,0,1,1,0,New York Gridlock,Home,8,DC
52,Sydney Harris,Sydney Harris,1,0,3,2,New York Gridlock,Home,10,ATX
64,Tracey Lum,Tracey Lum,1,1,,,New York Gridlock,Away,2,PHL
64,Tracey Lum,Tracey Lum,0,0,0,1,New York Gridlock,Home,5,POR
64,Tracey Lum,Tracey Lum,0,0,0,2,New York Gridlock,Away,6,MIN
64,Tracey Lum,Tracey Lum,0,1,0,1,New York Gridlock,Away,6,MKE
64,Tracey Lum,Tracey Lum,0,0,0,2,New York Gridlock,Home,8,DC
64,Tracey Lum,Tracey Lum,1,1,1,2,New York Gridlock,Home,10,ATX
14,Tulsa Douglas,Tulsa Douglas,,,,,New York Gridlock,Away,2,PHL
14,Tulsa Douglas,Tulsa Douglas,0,0,1,1,New York Gridlock,Home,5,POR
14,Tulsa Douglas,Tulsa Douglas,3,3,1,4,New York Gridlock,Away,6,MIN
14,Tulsa Douglas,Tulsa Douglas,2,0,1,2,New York Gridlock,Away,6,MKE
14,Tulsa Douglas,Tulsa Douglas,4,0,1,2,New York Gridlock,Home,8,DC
14,Tulsa Douglas,Tulsa Douglas,4,1,1,4,New York Gridlock,Home,10,ATX
20,Yina Cartagena,Yina Cartagena,8,3,0,2,New York Gridlock,Home,5,POR
20,Yina Cartagena,Yina Cartagena,9,0,1,5,New York Gridlock,Away,6,MIN
20,Yina Cartagena,Yina Cartagena,1,2,0,0,New York Gridlock,Away,6,MKE
20,Yina Cartagena,Yina Cartagena,6,3,0,4,New York Gridlock,Home,8,DC
20,Yina Cartagena,Yina Cartagena,2,1,1,6,New York Gridlock,Home,10,ATX
83,Zoe Hecht,Zoe Hecht,,1,,1,New York Gridlock,Away,2,PHL
83,Zoe Hecht,Zoe Hecht,0,1,0,0,New York Gridlock,Home,5,POR
83,Zoe Hecht,Zoe Hecht,0,0,0,2,New York Gridlock,Away,6,MIN
83,Zoe Hecht,Zoe Hecht,1,2,0,0,New York Gridlock,Away,6,MKE
83,Zoe Hecht,Zoe Hecht,0,0,0,0,New York Gridlock,Home,8,DC
83,Zoe Hecht,Zoe Hecht,0,1,0,0,New York Gridlock,Home,10,ATX
17,Allie Milligan,Allie Milligan,,,,2,Philadelphia Surge,Home,2,NY
17,Allie Milligan,Allie Milligan,,,,,Philadelphia Surge,Away,4,POR
17,Allie Milligan,Allie Milligan,0,0,0,0,Philadelphia Surge,Away,5,RAL
17,Allie Milligan,Allie Milligan,1,,,,Philadelphia Surge,Away,7,DC
17,Allie Milligan,Allie Milligan,,,2,,Philadelphia Surge,Home,8,POR
17,Allie Milligan,Allie Milligan,2,,,1,Philadelphia Surge,Home,10,ATX
10,Andrea DeSabato,Andrea DeSabato,5,,,1,Philadelphia Surge,Home,2,NY
10,Andrea DeSabato,Andrea DeSabato,1,,1,,Philadelphia Surge,Away,4,POR
10,Andrea DeSabato,Andrea DeSabato,1,1,0,1,Philadelphia Surge,Away,5,RAL
10,Andrea DeSabato,Andrea DeSabato,,,1,3,Philadelphia Surge,Away,7,DC
10,Andrea DeSabato,Andrea DeSabato,,1,,1,Philadelphia Surge,Home,8,POR
10,Andrea DeSabato,Andrea DeSabato,1,,1,1,Philadelphia Surge,Home,10,ATX
11,Beata Artz,Beata Artz,,,1,,Philadelphia Surge,Home,2,NY
11,Beata Artz,Beata Artz,,,,1,Philadelphia Surge,Away,4,POR
11,Beata Artz,Beata Artz,0,1,2,0,Philadelphia Surge,Away,5,RAL
11,Beata Artz,Beata Artz,,,,,Philadelphia Surge,Away,7,DC
11,Beata Artz,Beata Artz,,,,,Philadelphia Surge,Home,8,POR
11,Beata Artz,Beata Artz,,,2,,Philadelphia Surge,Home,10,ATX
70,Benish Benjamin,Benish Benjamin,,,,1,Philadelphia Surge,Home,2,NY
70,Benish Benjamin,Benish Benjamin,0,0,0,1,Philadelphia Surge,Away,5,RAL
70,Benish Benjamin,Benish Benjamin,,,,,Philadelphia Surge,Away,7,DC
70,Benish Benjamin,Benish Benjamin,,,,,Philadelphia Surge,Home,8,POR
70,Benish Benjamin,Benish Benjamin,,,,,Philadelphia Surge,Home,10,ATX
24,Casey Gorman,Casey Gorman,,,,,Philadelphia Surge,Home,2,NY
24,Casey Gorman,Casey Gorman,,,2,1,Philadelphia Surge,Away,4,POR
24,Casey Gorman,Casey Gorman,,,,,Philadelphia Surge,Away,7,DC
24,Casey Gorman,Casey Gorman,1,1,2,2,Philadelphia Surge,Home,8,POR
24,Casey Gorman,Casey Gorman,,1,,,Philadelphia Surge,Home,10,ATX
20,Danielle Walsh,Danielle Walsh,1,,,1,Philadelphia Surge,Home,2,NY
20,Danielle Walsh,Danielle Walsh,4,1,,3,Philadelphia Surge,Away,4,POR
20,Danielle Walsh,Danielle Walsh,2,0,2,1,Philadelphia Surge,Away,5,RAL
20,Danielle Walsh,Danielle Walsh,2,1,1,3,Philadelphia Surge,Away,7,DC
20,Danielle Walsh,Danielle Walsh,,,,2,Philadelphia Surge,Home,8,POR
20,Danielle Walsh,Danielle Walsh,3,1,,,Philadelphia Surge,Home,10,ATX
8,Emma Soiles,Emma Soiles,1,,1,1,Philadelphia Surge,Home,2,NY
8,Emma Soiles,Emma Soiles,1,2,2,7,Philadelphia Surge,Away,4,POR
8,Emma Soiles,Emma Soiles,0,1,1,0,Philadelphia Surge,Away,5,RAL
8,Emma Soiles,Emma Soiles,1,,1,1,Philadelphia Surge,Away,7,DC
8,Emma Soiles,Emma Soiles,1,1,2,1,Philadelphia Surge,Home,8,POR
8,Emma Soiles,Emma Soiles,1,2,2,1,Philadelphia Surge,Home,10,ATX
88,Grace Hodges,Grace Hodges,,,,,Philadelphia Surge,Home,2,NY
88,Grace Hodges,Grace Hodges,,,,,Philadelphia Surge,Home,8,POR
88,Grace Hodges ,Grace Hodges,,,,,Philadelphia Surge,Home,10,ATX
6,Gwen Rauch,Gwen Rauch,,,,,Philadelphia Surge,Home,2,NY
6,Gwen Rauch,Gwen Rauch,,1,,,Philadelphia Surge,Away,4,POR
6,Gwen Rauch,Gwen Rauch,0,0,1,1,Philadelphia Surge,Away,5,RAL
6,Gwen Rauch,Gwen Rauch,,,,,Philadelphia Surge,Away,7,DC
6,Gwen Rauch,Gwen Rauch,,,,,Philadelphia Surge,Home,8,POR
6,Gwen Rauch,Gwen Rauch,,,,,Philadelphia Surge,Home,10,ATX
33,Jana Graham,Jana Graham,,,,,Philadelphia Surge,Home,2,NY
33,Jana Graham,Jana Graham,,1,1,,Philadelphia Surge,Away,4,POR
33,Jana Graham,Jana Graham,1,0,0,0,Philadelphia Surge,Away,5,RAL
33,Jana Graham ,Jana Graham,,,1,,Philadelphia Surge,Away,7,DC
33,Jana Graham ,Jana Graham,,,1,,Philadelphia Surge,Home,8,POR
33,Jana Graham,Jana Graham,,,1,,Philadelphia Surge,Home,10,ATX
13,Kristin Thomas,Kristin Thomas,,,,,Philadelphia Surge,Home,2,NY
13,Kristin Thomas,Kristin Thomas,,,,,Philadelphia Surge,Home,8,POR
13,Kristin Thomas,Kristin Thomas,,,,,Philadelphia Surge,Home,10,ATX
15,Layne Dodge,Layne Dodge,2,1,1,,Philadelphia Surge,Home,2,NY
15,Layne Dodge,Layne Dodge,,2,,1,Philadelphia Surge,Away,4,POR
15,Layne Dodge,Layne Dodge,1,1,0,1,Philadelphia Surge,Away,5,RAL
15,Layne Dodge,Layne Dodge,,,1,2,Philadelphia Surge,Away,7,DC
15,Layne Dodge,Layne Dodge,1,,,2,Philadelphia Surge,Home,8,POR
15,Layne Dodge,Layne Dodge,1,1,2,2,Philadelphia Surge,Home,10,ATX
21,Linda Morse,Linda Morse,1,2,2,1,Philadelphia Surge,Home,2,NY
21,Linda Morse,Linda Morse,1,3,2,2,Philadelphia Surge,Away,4,POR
21,Linda Morse,Linda Morse,1,0,1,0,Philadelphia Surge,Away,5,RAL
21,Linda Morse,Linda Morse,2,,,3,Philadelphia Surge,Away,7,DC
21,Linda Morse,Linda Morse,1,2,1,2,Philadelphia Surge,Home,8,POR
21,Linda Morse,Linda Morse,1,1,,,Philadelphia Surge,Home,10,ATX
5,Lindsay McKenna,Lindsay McKenna,2,2,1,3,Philadelphia Surge,Home,2,NY
5,Lindsay McKenna,Lindsay McKenna,1,1,1,3,Philadelphia Surge,Away,5,RAL
5,Lindsay McKenna,Lindsay McKenna,2,2,1,3,Philadelphia Surge,Away,7,DC
5,Lindsay McKenna,Lindsay McKenna,3,3,,3,Philadelphia Surge,Home,8,POR
5,Lindsay McKenna,Lindsay McKenna,4,1,1,3,Philadelphia Surge,Home,10,ATX
77,Liz Gardner,Liz Gardner,,,,,Philadelphia Surge,Home,2,NY
