match,date,team,opponent,Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
DC @ RAL,2024-04-06_17-30-00,RAL,DC,59 Audrey Lyman,6,"3,6,12,15,18,24",5,1,2,0,26,6,26,16,10,0,1,0,7,7,0,0,0,0,288.01,179.49,15.16,9.45,139.35,-6.22,8.71,-0.39
DC @ RAL,2024-04-06_17-30-00,RAL,DC,23 Nicole Patterson,6,"1,7,10,13,19,22",2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DC @ RAL,2024-04-06_17-30-00,RAL,DC,33 Erica Birdsong,6,"2,5,8,14,17,20",6,0,1,0,10,4,10,10,0,1,0,0,3,3,0,0,0,0,65.01,11.34,9.29,1.62,107.56,58.43,10.76,5.84
DC @ RAL,2024-04-06_17-30-00,RAL,DC,19 Sydney Kelley,6,"7,10,13,19,22,25",3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DC @ RAL,2024-04-06_17-30-00,RAL,DC,03 Grace Conerly,5,"6,9,15,18,21",4,1,3,0,8,5,7,3,5,0,1,1,2,1,1,0,0,0,76.38,35.51,12.73,5.92,42.80,17.87,14.27,5.96
DC @ RAL,2024-04-06_17-30-00,RAL,DC,17 Emily Przykucki,5,"3,9,12,21,24",3,2,1,0,9,4,9,9,0,0,0,0,3,2,1,1,0,0,96.03,38.77,13.72,5.54,72.63,-17.87,8.07,-1.99
DC @ RAL,2024-04-06_17-30-00,RAL,DC,14 Sarah Spall,4,"6,15,18,24",4,0,2,0,2,2,2,2,0,0,0,0,0,0,0,1,0,0,22.22,4.35,11.11,2.18,25.65,24.79,12.82,12.39
DC @ RAL,2024-04-06_17-30-00,RAL,DC,27 Mary Rippe,3,"2,5,8",3,0,0,0,6,2,6,6,0,0,0,0,1,0,1,1,0,0,59.53,19.04,9.92,3.17,61.70,16.16,10.28,2.69
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",17 Kristin Dudley,15,"1,3,6,9,12,13,15,16,17,18,21,22,24,27,28",10,5,9,4,21,11,19,13,8,0,0,2,1,1,0,0,0,0,235.04,98.55,13.83,5.80,157.20,43.21,12.09,3.32
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",11 Tracey Lo,12,"1,6,7,9,13,15,16,18,21,22,27,28",7,5,6,4,18,11,16,10,8,0,1,2,2,2,0,0,0,0,196.25,89.48,14.02,6.39,175.72,75.86,17.57,7.59
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",32 Shani Rosenthal,12,"1,3,7,9,13,15,16,17,18,22,24,27",8,4,8,3,15,11,12,15,0,3,1,3,2,2,0,0,0,0,195.61,114.88,19.56,11.49,240.16,164.80,16.01,10.99
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",66 Mya Hernandez,12,"1,3,7,9,13,15,16,17,18,22,24,27",8,4,8,3,12,8,11,12,0,1,1,1,2,1,1,1,0,0,126.10,54.25,12.61,5.43,172.96,107.15,14.41,8.93
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",40 Claire Milton,11,"3,6,9,12,15,17,19,21,22,24,28",8,3,7,2,13,9,12,13,0,4,4,1,0,0,0,0,0,0,255.58,194.26,21.30,16.19,211.81,158.83,16.29,12.22
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",02 Maketa Mattatore,11,"2,4,5,10,11,14,17,19,20,23,26",3,8,1,1,16,8,16,12,4,0,0,0,1,1,0,0,0,0,172.21,44.84,11.48,2.99,123.28,-33.05,10.27,-2.75
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",24 Abby Swensen,11,"1,6,7,12,13,16,18,21,22,27,28",6,5,5,4,11,9,6,11,0,3,0,5,0,0,0,1,0,0,101.40,95.30,20.28,19.06,260.71,209.03,23.70,19.00
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",14 Briana Burriss,11,"2,4,5,8,10,14,19,20,25,26,29",2,9,0,1,10,7,9,7,3,0,0,1,1,1,0,1,0,0,84.93,15.58,10.62,1.95,92.51,-8.47,13.22,-1.21
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",18 Laura Gerencser,11,"1,3,7,9,12,15,16,18,22,24,27",8,3,8,2,10,7,10,8,2,0,1,0,0,0,0,1,0,0,156.57,72.88,15.66,7.29,75.33,-33.93,9.42,-4.24
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",04 Rachel Mast,10,"1,6,7,12,13,16,18,21,27,28",6,4,5,3,16,10,16,15,1,2,2,0,2,1,1,1,0,0,183.07,69.22,13.08,4.94,218.45,135.33,14.56,9.02
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",34 Lauren Kitten,9,"3,6,7,12,13,17,21,24,28",7,2,6,2,13,10,13,9,4,0,1,0,3,2,1,1,0,0,124.11,52.70,11.28,4.79,94.76,-11.58,10.53,-1.29
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",29 Emily Schloneger,9,"3,6,9,12,15,17,21,24,28",8,1,7,1,6,5,6,6,0,1,2,0,0,0,0,0,0,0,99.51,85.75,16.58,14.29,95.28,74.44,15.88,12.41
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",21 Elizabeth Burkhardt,8,"4,8,10,14,19,25,26,29",1,7,0,1,3,3,3,1,2,0,0,0,1,1,0,0,0,0,20.19,-4.61,10.09,-2.30,8.85,-2.98,8.85,-2.98
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",06 Risa Umeno,8,"2,5,8,11,20,23,25,29",1,7,0,0,13,8,13,7,6,0,0,0,3,3,0,0,0,0,122.24,12.94,12.22,1.29,75.83,-6.71,10.83,-0.96
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",03 Mary Timmons,8,"2,5,8,11,20,23,25,29",1,7,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,21.26,-2.78,10.63,-1.39,36.25,30.14,12.08,10.05
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",42 Kelly Kerker,8,"2,5,8,11,20,23,25,29",1,7,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10.32,1.35,10.32,1.35,12.42,11.18,12.42,11.18
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",33 Jalyn Baumgartner,8,"2,5,8,11,20,23,25,29",1,7,0,0,3,1,3,3,0,0,0,0,2,1,1,1,0,0,20.54,-1.29,10.27,-0.64,34.65,14.56,11.55,4.85
