match,week,team,opponent,Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
ATL @ ATX,Week 1,original stats,ATLATX,2024-04-10 03:32:09,24,1,1,1,0.5013831,0.57314074,29 Charlotte Doran,12,29 Charlotte Doran,05 Megan Jarriel,75 Sarah Kingsley-Hart,NA,NA,NA
ATL @ ATX,Week 1,original stats,ATLATX,2024-04-10 03:36:56,26,1,1,0,0.9813278,0.670252,31 María Vargas,34,NA,NA,NA,44 Jordan Harn,NA,NA
ATL @ ATX,Week 1,original stats,ATLATX,2024-04-10 03:41:19,26,2,1,0,0.6715076,0.8251383,12 Emma Jaschke,7,NA,NA,NA,26 Morgan Lally,NA,NA
ATL @ ATX,Week 1,original stats,ATLATX,2024-04-10 03:43:57,27,1,1,0,0.87344396,0.6628765,20 Soju Hokari,5,NA,NA,NA,20 Soju Hokari,NA,NA
ATL @ ATX,Week 1,original stats,ATLATX,2024-04-10 03:44:52,27,2,1,0,0.043568466,0.52827287,08 Dani Ortiz,5,NA,NA,NA,NA,13 Hannah Abraham,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 1:21:49,1,1,0,0,0.2634855,0.83558697,31 María Vargas,1,NA,NA,NA,31 María Vargas,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 1:22:24,1,2,0,0,0.16113417,0.7556853,18 Naomi Anderson,4,NA,NA,NA,18 Naomi Anderson,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 1:30:45,2,1,1,0,0.060165975,0.70221263,29 Charlotte Doran,13,NA,NA,NA,03 Alex Krueger,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 1:34:13,3,1,1,1,0.99654216,0.6573448,18 Naomi Anderson,12,55 Trystan Grzyll,26 Morgan Lally,18 Naomi Anderson,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 1:40:19,4,1,0,0,0.25242049,0.5104487,10 Mia Griner,3,NA,NA,NA,NA,44 Jordan Harn,NA
