team,Player,Touches,Throws,Catches,Defensive blocks,Goals,Turnovers,Total completed throw gain (yd),Average completed throw gain (yd),Total caught pass gain (yd),Average caught pass gain (yd),Offense points played,Defense points played,Possessions initiated,Thrower errors,Receiver errors,Assists,Secondary assists
LA,24 Avalon Igawa,8,6,7,2,2,0,39.4934,6.582574187266667,56.24254,8.03458595243143,3,4,1,0,0,1,0
RAL,24 Hannah Boettcher,7,7,7,1,0,2,0.15316000000000002,0.025023134933333597,84.16142,12.022476760468573,1,7,0,1,1,1,0
LA,25 Samantha Wool,40,40,34,1,0,4,168.43224000000004,4.812283250034858,48.31104,1.4209808480088235,8,2,6,4,0,3,1
LA,26 Cameron Helm,11,10,11,0,1,3,38.08214,5.441076796742857,73.95439999999999,6.722914718472728,3,4,0,2,1,0,0
INDY,27 Eliza (Eliza Hutchins),12,10,12,0,2,1,28.07204,2.80751948772,165.55502,13.79664019165,11,3,0,0,1,0,0
PHL,27 Kit Asterin,39,38,27,0,0,7,137.00162,4.4194883957961295,-3.9931,-0.147708829765926,5,8,12,6,1,1,1
LA,29 Hanae Oda,5,5,5,0,0,0,20.50156,4.10000257304,26.49668,5.2996566514,0,4,0,0,0,0,0
PHL,29 Sara Liang,43,41,30,0,2,3,58.00388000000001,1.487419149420513,14.462680000000002,0.4822261599133334,9,6,13,2,1,2,1
INDY,29 Schlonny (Emily Hess),1,1,1,0,0,0,8.57696,8.581116106,6.246740000000001,6.249295146400001,1,0,0,0,0,0,0
INDY,32 Shani (Shani Rosenthal),11,11,10,1,0,2,24.15552,2.41577274732,94.94826000000002,9.4951976318,11,1,1,1,1,0,1
INDY,33 Jalyn (Jalyn Baumgartner),0,0,0,0,0,0,0,NA,0,NA,0,5,0,0,0,0,0
PHL,33 Jana Graham,0,0,0,0,0,1,0,NA,0,NA,1,5,0,0,1,0,0
LA,34 Amanda Ring,6,6,4,2,0,2,11.7058,2.341567042392,64.90702,16.22795935725,2,3,2,1,1,0,1
INDY,40 Skittles (Claire Milton),3,3,3,0,0,1,31.24464,15.623240054,25.468320000000002,8.487848959333334,1,6,0,1,0,0,0
LA,40 Veronica Yee,2,2,2,0,0,1,12.296560000000001,6.150322607400001,18.8168,9.410734049,0,4,0,0,1,0,0
LA,41 Natalie So,9,9,7,0,0,2,28.15956,4.0225854145457145,10.74308,1.5349345948314286,1,4,2,2,0,0,0
RAL,43 Claire Hackl,5,4,2,1,1,2,25.22764,8.408227001166669,14.03602,7.0193653019000015,1,8,3,1,1,0,0
LA,44 Nadine Meister,25,25,21,0,0,2,170.31392000000002,7.40497447684087,14.62678,0.6966172383276191,5,4,4,2,0,1,2
RAL,45 Caitlin Gross,21,21,21,0,0,3,101.34816000000001,5.961713043258824,149.32006,7.110528272409524,10,3,0,3,0,0,3
PHL,48 Caroline Weinberg,2,2,2,0,0,2,-5.16368,-5.161116758,23.849200000000003,11.9253021292,2,3,0,1,1,0,0
RAL,48 Natalie Baumgarten,9,7,7,2,2,2,71.02248,14.203895547160002,132.80066000000002,18.972130761685715,1,7,2,1,1,0,1
LA,50 Lilet Brooks,10,9,9,1,1,5,-2.81158,-0.4022595334000001,196.74496000000002,21.860674283355557,8,3,1,2,3,0,0
RAL,59 Audrey Lyman,48,48,24,0,0,7,228.82104,5.86727824900718,21.245480000000004,0.8852396703641667,11,4,24,7,0,2,1
INDY,66 Graber (Rachel Graber),0,0,0,0,0,0,0,NA,0,NA,0,3,0,0,0,0,0
PHL,66 Jess Brand,2,1,2,0,1,0,-4.540100000000001,-4.535525657800001,67.24818,33.625447107,5,5,0,0,0,0,1
PHL,73 Chelsea Semper,7,6,7,0,1,2,-8.67542,-4.3400280766,53.091820000000006,7.585275885831429,4,6,0,2,0,0,0
INDY,77 Kat (Katrina McGuire),27,24,24,0,3,2,53.91232000000001,2.4505372348545453,114.35582000000001,4.76469874153,8,8,3,2,0,1,1
INDY,82 Dickson (Riley Dickson),0,0,0,1,0,1,0,NA,0,NA,5,2,0,0,1,0,0
RAL,88 Maddie Pletzke,11,9,10,0,2,4,18.91526,2.364814468,115.0888,11.508757625160001,11,5,1,1,3,1,1
LA,89 Lexy Roy,1,1,1,0,0,0,7.559540000000001,7.558227200000001,16.45376,16.450258106000003,1,1,0,0,0,0,1
INDY,91 Sammy (Samantha Phillips),2,1,2,0,1,1,-8.8614,-8.860937238,34.7892,17.395426517000004,2,1,0,0,1,0,0
LA,93 Naomi Guzman,17,16,7,0,1,3,113.89634000000001,9.491008942833334,37.56796000000001,5.36697794342,3,4,10,3,0,1,0
PHL,99 Veronica Kolegue-Spalaris,9,9,9,2,0,0,5.316840000000001,0.5908356197111112,46.13398000000001,5.126360506848889,5,6,0,0,0,1,1
