team,Player,assists,secondary_assists,goals,turnovers,defensive_blocks,total_throw_gain,total_catch_gain,offensive_points_played,defensive_points_played,touches,throws,possessions_initiated,thrower_errors,receiver_errors,avg_completed_throw_gain,avg_caught_pass_gain
DC,13 Sami Smalling,2,4,0,0,1,178.34,45.44,3,10,26,26,5,0,0,6.74,1.9300000000000002
DC,15 Florence Brooks,2,0,5,1,2,44.5,147.45,2,10,12,7,1,0,1,6.6,13.7
DC,16 Margaret Walker,3,1,0,5,1,287.46,45.86,8,8,34,34,11,4,1,9.58,2.015
DC,19 Allie Wallace,2,0,4,0,0,96.78999999999999,180.03,7,10,20,16,1,0,0,5.88,10.325
DC,21 Jess Oh,1,3,2,3,0,115.49000000000001,99.09,1,19,21,19,3,2,1,6.505,6.81
DC,22 Erin McCann,1,2,1,0,2,25.67,59.07,3,17,8,7,0,0,0,4.625,8.32
DC,23 Lisa Dang,0,2,0,5,1,220.47,2.3,8,8,41,41,13,5,0,6.95,0.09
DC,24 Jamie Eriksson,2,1,0,1,3,133.78,101.26,1,15,12,12,2,1,0,13.785,10.125
DC,26 Jessica Sourbeer,2,3,0,1,2,136.82,-11.85,2,9,16,16,4,1,0,9.12,-0.99
DC,36 Carolyn Normile,1,2,0,3,1,85.69,101.06,8,9,31,31,12,3,0,3.295,5.48
DC,37 Claire Trop,2,4,5,6,2,76.88,382.42,8,13,39,34,3,4,2,2.795,10.48
DC,42 Lisi Lohre,1,1,1,3,0,65.09,87.17,2,5,8,7,0,2,1,13.02,10.9
DC,46 Graham Cunningham,1,1,1,0,0,71.32,97.27,0,10,10,9,0,0,0,7.92,9.73
DC,66 Jackie Wang,2,2,1,2,2,220.68,12.530000000000001,2,17,38,37,16,2,0,6.015,0.26
INDY,02 Maketa Mattatore,0,0,0,1,0,44.84,-33.05,3,8,16,16,4,1,0,2.99,-2.75
INDY,02 Maketa Mattimore,0,0,0,0,0,2.57,4.02,1,9,2,2,0,0,0,1.29,2.01
INDY,03 Mary Timmons,0,0,0,2,1,-7.049999999999999,53.74,2,19,6,6,0,2,0,-2.8299999999999996,8.96
INDY,04 Rachel Mast,2,3,4,3,3,91.03999999999999,401.20000000000005,22,4,36,32,1,2,1,3.1950000000000003,11.155
INDY,06 Risa Umeno,0,0,0,3,0,7.359999999999999,-14.86,3,17,24,24,9,3,0,0.39,-0.99
INDY,10 Ariel Choi,0,0,0,1,0,0,10.36,1,5,1,1,0,1,0,0,10.36
INDY,11 Tracey Lo,0,1,2,2,0,89.48,75.86,7,5,18,16,8,2,0,6.39,7.59
INDY,14 Briana Burriss,0,0,1,1,2,15.58,-8.47,3,19,10,9,3,1,0,0.975,-0.605
INDY,16 Riely Kuznicki,0,0,0,1,3,-2.98,17.81,1,6,2,2,0,1,0,-2.98,8.91
INDY,16 Riley Kuznicki,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
INDY,17 Kristin Dudley,4,2,2,7,0,383.69,-23.249999999999993,29,6,82,80,20,7,0,5.640000000000001,0.9799999999999999
INDY,18 Laura Gerencser,2,4,2,0,1,222.9,-76.50999999999999,27,4,67,65,10,0,0,5.035,-2.555
INDY,20 Shirley Saunders,0,0,0,1,1,-5.89,11.04,2,5,2,2,0,1,0,-5.89,5.52
INDY,21 Elizabeth Burkhardt,0,0,0,1,0,-4.61,-2.98,1,7,3,3,2,1,0,-2.3,-2.98
INDY,22 Emily Wycoff,0,0,0,0,0,10.36,8.16,1,9,1,1,0,0,0,10.36,8.16
INDY,23 Lili Hobday,1,0,0,2,1,22.89,59.74,1,6,8,8,1,2,0,3.82,8.53
INDY,24 Abby Swensen,4,0,6,2,3,135.54,315.39,22,6,24,18,1,1,1,11.36,13.93
INDY,29 Emily Schloneger,1,6,0,0,0,97.98,191.03,21,2,18,18,0,0,0,7.654999999999999,11.065000000000001
INDY,32 Shani Rosenthal,4,1,4,3,0,158.16,369.89,25,5,27,23,0,3,0,7.91,14.04
INDY,33 Jalyn Baumgartner,0,0,0,2,1,-1.29,14.56,1,7,3,3,0,1,1,-0.64,4.85
INDY,34 Lauren Kitten,1,1,0,5,1,83.34,8.37,8,14,20,20,6,4,1,5.46,1.35
INDY,40 Claire Milton,6,4,3,4,0,348.62,329.4,23,4,28,25,0,2,2,15.11,11.795
INDY,42 Kelly Kerker,0,0,1,0,0,-6.43,43.96,3,19,4,3,0,0,0,-1.27,11.055
INDY,59 Maple Adkins-Threats,0,1,0,1,1,23.3,13.14,1,7,3,3,1,1,0,11.65,6.57
INDY,66 Mya Hernandez,1,1,1,2,1,54.25,107.15,8,4,12,11,0,1,1,5.43,8.93
INDY,91 Samantha Philips,1,0,1,2,0,115.83,61.58,19,1,41,40,5,1,1,2.97,1.71
INDY,92 Charlotte Wilson,0,1,0,0,0,34.69,-24.18,2,8,9,9,2,0,0,3.85,-3.45
MINN,00 Alicia Carr,0,0,0,0,0,104.38,-75.18,2,5,10,10,1,0,0,10.44,-8.35
MINN,01 Amelia Zdechlik,0,0,0,0,0,11.18,16.05,2,9,1,1,0,0,0,11.18,16.05
MINN,02 Steph Wood,1,5,0,0,0,130.18,150.5,14,1,15,15,0,0,0,8.68,10.03
MINN,03 Makella Daley,1,1,0,2,0,224.54,-21.2,13,2,34,34,18,1,1,6.8,-1.33
MINN,04 Erica Baken,5,1,0,1,1,405.45,79.72,13,2,47,47,8,1,0,9.21,2.04
MINN,05 Steph Rupp,0,2,1,1,0,82.7,-0.88,13,2,13,12,3,1,0,7.52,-0.09
MINN,07 Danielle Byers,0,0,3,5,0,-19.1,266.73,13,2,18,15,0,4,1,-1.74,14.82
MINN,09 Sara Helm,0,0,1,0,0,0,32.92,2,9,1,0,0,0,0,0,32.92
MINN,10 Jane Koch,0,0,0,0,1,-7.38,0,2,10,1,1,1,0,0,-7.38,0
MINN,11 Rachel Johnson,0,1,0,2,0,17.75,56.08,4,9,14,14,6,2,0,1.61,7.01
MINN,14 Jessica Hendrickson,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
MINN,15 Chelsea Semper,0,0,0,1,0,-1.02,11.45,2,5,4,4,2,1,0,-0.34,5.72
MINN,19 Megan Randall,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0
MINN,21 Sarah Mondschein,1,0,1,3,0,31.36,32.38,5,10,5,4,1,2,1,15.68,8.09
MINN,24 Allegra Johnson McKee,1,0,0,0,0,12.33,13.41,2,4,1,1,0,0,0,12.33,13.41
MINN,33 Julia Hill,0,0,0,1,0,0,11.79,0,5,1,1,0,1,0,0,11.79
MINN,44 Sarah Meckstroth,3,1,3,7,0,93.81,237.54,10,3,21,17,0,4,3,7.22,11.31
MINN,45 Emery Otapalik,1,0,1,1,0,39.89,43.08,3,6,5,4,0,1,0,13.3,8.62
MINN,49 Elly Fireside-Ostergaard,0,0,0,0,0,-19.78,27.36,2,5,3,3,0,0,0,-6.59,9.12
MINN,53 Emma Piorier,1,2,4,2,2,36.1,250.68,13,1,14,10,0,2,0,4.51,17.91
MINN,55 Courtney Walbe,0,0,0,2,0,0,9.96,2,9,2,2,0,2,0,0,4.98
MKE,00 Donna Johnston,0,1,0,5,0,11.65,27.840000000000003,3,12,12,12,0,2,3,2.505,2.12
MKE,05 Rose Glinka,1,2,1,5,1,167.16,102.68,22,1,27,26,6,3,2,6.91,4.6850000000000005
MKE,07 Sydney Stelzer,0,0,1,4,0,3.1899999999999995,54.18,7,10,3,2,0,0,4,1.5949999999999998,14.8
MKE,08 Manhua Zhu,2,0,0,6,0,137.9,97.33000000000001,17,1,31,31,10,6,0,5.75,4.585
MKE,10 Chelsea Twohig,4,0,2,2,1,301.48,138.59,10,15,23,21,9,1,1,15.370000000000001,12.165000000000001
MKE,12 Sydney French,1,1,3,11,2,141.5,246.41000000000003,11,19,30,27,6,9,2,10.35,10.07
MKE,13 Erin Newman,0,0,1,0,0,-2.17,68.75,21,0,4,3,0,0,0,-1.085,17.19
MKE,17 Caitlin Duffner,0,2,3,3,3,38.879999999999995,221.22,24,2,21,18,1,0,3,2.39,9.505
MKE,19 Emily Cohen,0,1,0,1,0,1.83,108.1,7,1,6,6,0,1,0,0.37,18.02
MKE,21 Annie Shriver,2,0,2,7,3,122.53,205.03,27,4,29,27,5,6,1,6.035,7.455
MKE,22 Alex Ballinger,0,5,0,4,6,158.5,142.51,12,16,38,38,13,3,1,4.77,5.6
MKE,27 Stef Bugasch,0,1,1,1,1,-7.11,80.67,13,1,11,10,2,1,0,-0.905,8.74
MKE,32 Mickela Heilicher,0,2,0,6,1,232.12,70.99,7,14,30,30,16,5,1,10.555,4.895
