team,Player,Touches,Throws,Catches,Defensive blocks,Goals,Turnovers,Total completed throw gain (yd),Average completed throw gain (yd),Total caught pass gain (yd),Average caught pass gain (yd),Offense points played,Defense points played,Possessions initiated,Thrower errors,Receiver errors,Assists,Secondary assists
DC,06 Laureen Johnson,13,8,13,3,5,1,19.123120000000004,2.3897337914500003,191.98606,14.768752765256925,7,18,0,0,1,0,1
NASH,06 Micah Roberts,22,19,22,1,3,4,30.971140000000002,2.0649284140093336,260.08756,11.822359897324546,13,18,0,3,1,0,1
INDY,06 Risa Umeno,81,79,56,1,1,5,216.8855,2.930899495067838,-19.429440000000003,-0.3469401225949286,11,46,25,5,0,3,2
PORT,06 Rowse,18,14,15,9,4,6,-37.119420000000005,-3.0936861825633337,298.74952,19.9165925112,6,21,3,2,4,0,0
ATL,06 Willy (Natalie Wilson),22,17,22,1,5,2,125.27394,8.352060330066667,236.4681,10.748616585812728,23,12,0,1,1,1,0
RAL,07 Allison Reilly,18,18,12,0,0,1,153.34598,9.020054615000001,16.606920000000002,1.3835504751333334,11,0,6,1,0,0,2
MINN,07 Danielle Byers,56,48,56,0,8,10,183.69354000000004,4.480354996853171,889.5751600000001,15.885243925742143,51,8,0,7,3,5,1
DC,07 Kami Groom,95,86,88,9,10,5,397.17670000000004,5.22070020308026,782.4069200000001,8.891189644987955,11,47,7,4,1,7,7
NASH,07 Mary Cowart,5,4,5,0,1,0,9.4084,2.352684461295,51.724320000000006,10.34439699328,5,8,0,0,0,0,0
PHL,07 Nikki Ross,25,24,16,1,0,2,197.09504,8.958913741915273,-17.328960000000002,-1.08329815901375,8,0,9,2,0,3,1
ATX,07 Shiru Liu,66,66,49,1,0,9,531.8809200000001,9.497728542583571,8.489440000000002,0.17329847479591842,13,16,17,9,0,4,0
MKE,07 Syd Stelzer,1,0,1,0,1,0,0,NA,18.707400000000003,18.705681326,8,5,0,0,0,0,0
MKE,07 Sydney Stelzer,10,7,10,0,3,6,8.40192,1.3988233350666663,128.01988000000003,12.802347389940001,14,10,0,1,5,0,0
ATL,08 Dani Ortiz,98,98,87,1,0,10,409.02472,4.756043786453722,357.83646,4.113104259825057,52,13,11,9,1,8,6
PHL,08 Emma Soiles,48,37,44,7,8,8,267.86084572,8.928630372597334,625.8774000000001,14.224459572471456,7,65,4,6,2,8,3
NASH,08 Grace Robinson,125,120,104,1,4,13,534.76908,5.045061316113208,350.26598,3.367952552986154,53,15,21,11,2,1,6
INDY,08 Jamie Smets,8,6,8,1,2,1,-0.09846,-0.023319485199999934,202.58692000000002,25.323635901750002,2,15,0,1,0,0,0
DC,08 Kathryn Ritzman,53,49,50,2,4,7,242.67108000000002,5.515417144953637,438.97844000000003,8.7793994787756,17,17,3,3,4,3,5
MKE,08 ManHua Zhu,11,11,7,0,0,0,87.59658,7.963504999836364,-24.9432,-3.563426278494286,9,0,4,0,0,0,0
ATX,08 Mandy Radike,9,9,7,0,0,0,17.13204,1.9036286448533333,32.82,4.6881086822,3,4,2,0,0,0,0
MKE,08 Manhua Zhu,56,56,40,0,0,7,203.45118000000002,4.687332647374167,72.63066000000002,1.9054373498946342,21,18,16,7,0,2,3
NY,08 Manuela Cardenas,58,56,57,3,2,3,193.46296,3.7203190575876928,327.91556,5.752982368027018,6,34,1,3,0,3,6
ATX,08 Mindy Radike,13,13,11,0,0,3,90.10184000000001,9.01059037724,-72.83852,-6.621868415947273,2,7,2,3,0,0,2
PORT,08 Nicki Chan,20,17,19,3,3,5,71.6023,4.47465935415,208.74614,10.986956938621054,2,30,1,0,5,1,2
DC,09 Annalise Peters,41,39,26,2,2,8,390.20792000000006,13.007066368614668,104.92554000000001,4.035614021099231,3,25,15,8,0,3,5
NY,09 Cassandra Brown,114,112,77,4,2,10,1079.25288,10.47817210032272,260.79866000000004,3.386804023878961,22,62,37,9,1,10,6
NASH,09 Emma Patterson,15,15,7,0,0,1,94.54348,6.753709289714286,-24.07894,-3.4403679713714292,2,16,8,1,0,1,0
ATL,09 Fiona Cashin,7,7,7,0,0,1,52.97148000000001,8.829180265036667,51.86654,7.409765304857143,2,5,0,1,0,0,1
RAL,09 Jinny Riedel,13,10,12,1,3,2,22.350420000000003,2.234383013784,74.05286000000001,6.17173083631,4,16,1,0,2,0,1
MINN,09 Sara Helm,2,1,2,0,1,0,-0.7439200000000001,-0.7410022363600001,54.02172000000001,27.0095472,2,26,0,0,0,0,0
PHL,09 Sarah Hirannet,53,41,53,0,12,3,202.937,5.073275606642,804.2650400000001,15.17483902234302,53,11,0,1,2,4,4
ATX,09 Summer Wilson,43,43,35,0,0,3,374.80440000000004,9.610234095962053,14.747120000000006,0.42131279868685717,10,7,8,3,0,0,1
PHL,10 Andrea DeSabato,206,204,174,0,2,10,832.9606600000001,4.293561590475021,-92.68368000000001,-0.5326448360188276,58,10,32,8,2,4,5
INDY,10 Ariel Choi,3,3,3,0,0,1,10.16326,5.0833811111000005,17.766560000000002,5.922358898733334,1,11,0,1,0,0,0
MKE,10 Chelsea Twohig,65,59,48,4,6,9,530.4040200000001,10.400445264621178,507.97702000000004,10.582672002254585,33,24,17,8,1,8,2
ATX,10 Gaby Cuina,13,12,13,2,0,0,79.0984948838,7.190723489654546,144.80184,11.138768077369232,14,8,0,0,0,0,0
MINN,10 Jane Koch,18,17,16,2,1,2,58.32114000000001,3.6448067139625002,207.4771,12.967544868860001,6,27,2,0,2,4,0
PORT,10 Lauren Baecher,9,9,7,0,0,3,49.35034,7.050110857537144,11.7058,1.672547938997143,4,7,2,1,2,0,0
ATL,10 Mia Griner,116,108,80,5,8,10,455.0602400000001,4.691334532480825,548.1268200000001,6.851530529624251,36,39,36,10,0,5,4
RAL,10 Paige Carver,5,4,5,0,1,1,-10.38206,-2.5951083219100006,67.6092,13.521270244800002,5,13,0,0,1,0,0
NASH,10 Tori Taylor,109,101,104,11,8,13,523.30396,5.814422814655112,854.0858000000001,8.212501109460002,53,12,5,11,2,14,4
RAL,11 Dawn Culton,22,20,21,0,2,2,170.02948000000004,10.001778178818824,220.43006000000003,10.49702412307143,5,14,1,2,0,3,2
NY,11 Emma Berrigan,6,4,4,4,1,0,30.150640000000003,-6.6545260385,76.99572,19.248649936,6,20,2,0,0,1,0
NASH,11 Jamie Ferrie,8,8,7,1,0,1,-48.91274000000001,-6.113271357275001,91.43652,13.062819073657144,1,15,1,0,1,0,0
MINN,11 Rachel Johnson,57,56,29,1,1,9,539.60456,12.263593279184546,91.20678000000001,3.1454297343917244,14,37,28,9,0,3,7
PHL,11 Sara Liang,94,94,61,6,0,4,795.2286,8.935126123575326,10.174199999999994,0.1666397792868853,8,75,33,3,1,9,4
DC,11 Tayara Romero Pena,2,2,2,0,0,1,22.1535,11.077988955,14.593960000000001,7.2988784729,0,8,0,0,1,1,0
INDY,11 Tracey Lo,60,55,38,1,5,4,390.02194000000003,7.8003535237940005,292.4809,7.696936591426317,29,10,22,4,0,7,2
ATX,12 Annie Ortiz,37,36,27,2,1,0,62.97064,1.749433962445,84.54432,3.131198068377778,12,17,10,0,0,0,1
DC,12 Clare Frantz,29,23,29,0,6,3,15.195659999999997,0.7233608513190477,381.90446000000003,13.169405406434484,15,17,0,2,1,1,4
ATL,12 Emma Jaschke,43,42,40,1,1,5,104.09410000000001,2.739621154747895,32.39150973799999,0.8305147046179489,17,33,3,4,1,0,2
RAL,12 Katie Backus Meilstrup,35,32,34,3,3,3,66.05572000000001,2.2776827248275864,438.73776000000004,12.903915046882354,23,3,1,3,0,2,2
NASH,12 Meaghan Creamer,9,8,9,1,1,1,56.61450000000001,7.07657472457,93.00094,10.332870704093335,12,14,0,0,1,1,1
PHL,12 Sally Roberts,0,0,0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,0
MKE,12 Sydney French,66,56,53,9,9,14,365.24284,8.908565182532195,616.8409600000001,11.63855057077585,32,44,13,11,3,3,3
MKE,13 Erin Newman,10,8,10,0,2,2,22.372300000000003,4.47527321396,161.5291,16.152141793200002,35,0,0,2,0,0,1
ATL,13 Hannah Abraham,62,54,57,4,5,4,200.68123020080003,3.9480303517925495,312.42452000000003,5.481401874324562,25,36,5,3,1,1,2
PHL,13 Kat Harper,29,23,27,3,6,1,147.61342000000002,7.028732366933334,310.68506,11.506983713074074,4,45,2,1,0,2,3
PORT,13 Samantha Munson,1,0,1,0,1,1,0,NA,48.092240000000004,48.09107489,0,11,0,0,1,0,0
DC,13 Sami Smalling,57,56,43,3,1,3,448.60564,8.464207990398869,81.64522,1.899034605395349,9,26,14,1,2,3,5
RAL,13 Tyler Smith,119,116,94,3,3,17,676.12482,6.829583020971414,247.41904,2.632148556281319,28,4,25,17,0,4,5
INDY,14 Briana Burriss,17,16,14,3,1,1,66.19794,4.728427280148572,47.818740000000005,3.415753771554286,7,45,3,1,0,0,1
MINN,14 Jessica Hendrickson,14,12,14,3,2,0,17.5587,1.4634809048333333,152.12070000000003,10.866274816442859,0,26,0,0,0,0,1
ATL,14 Lindsay Allman,28,27,21,0,1,3,146.37720000000002,6.099267905199167,27.809479999999997,1.3245527404142858,12,0,7,3,0,0,2
RAL,14 Sarah Spall,2,2,2,1,0,0,4.7589,2.3801085879999997,27.120260000000002,13.558119228000002,4,0,0,0,0,0,0
PORT,15 Caitlin Fitzgerald,21,19,21,1,2,4,97.59574,5.740590169790589,287.37192,13.68437039444,9,21,0,1,3,4,0
MINN,15 Chelsea Semper,36,36,18,0,0,3,176.58254000000002,5.193557062776471,36.23328,2.013056907735556,10,25,18,2,1,0,1
ATX,15 Elise Franke,23,22,23,0,1,1,17.16486,0.8166817472476192,274.56118000000004,11.93771995672174,6,20,0,1,0,0,1
DC,15 Florence Brooks,26,20,25,4,6,4,53.277800000000006,2.8041097361578946,331.15380000000005,13.246163462056801,7,23,1,1,3,2,1
RAL,15 Justine Neville,1,1,1,1,0,0,-5.4153,-5.4098390802,14.648660000000001,14.643871562000001,6,14,0,0,0,0,0
PHL,15 Layne Dodge,22,18,20,4,4,0,161.84636,8.991048147055556,199.41432000000003,9.970502205050002,6,51,2,0,0,2,4
NASH,16 Emily Branson,50,47,42,0,3,10,283.44446000000005,7.267525211323077,91.88506000000001,2.1877220130371433,29,9,8,8,2,2,1
PORT,16 Erin Rea,37,31,37,1,6,9,54.163940000000004,2.083357400378462,459.27214000000004,12.41279557810811,37,6,0,5,4,0,5
PHL,16 Grace Maroon,54,51,53,0,3,1,198.14528,3.962961073458,384.27844000000005,7.2504552910883024,30,9,1,0,1,4,8
ATX,16 Kinsey Neas,24,22,23,1,2,4,11.782380000000002,0.6542791126455558,291.80262,12.687024262750436,5,19,1,4,0,0,0
DC,16 Margaret Walker,85,83,68,1,1,7,579.45898,7.624527119801053,160.28194000000002,2.357042389702059,17,14,17,6,1,7,3
INDY,16 Riely Kuznicki,2,2,2,3,0,1,-3.26012,-3.260408269,19.48414,9.7441844285,1,6,0,1,0,0,0
INDY,16 Riley Kuznicki,0,0,0,0,0,0,0,NA,0,NA,1,4,0,0,0,0,0
RAL,16 Tania Proksch,4,4,4,1,0,3,19.3091,6.437382638940001,41.87832,10.4699691905,7,14,0,1,2,0,0
PHL,17 Allie Milligan,8,8,3,0,0,2,32.08702,5.348567622766668,-6.093580000000001,-2.030739688,2,16,5,2,0,0,2
MKE,17 Caitlin Duffner,50,45,49,6,5,4,64.28344,1.4284808866573335,552.44812,11.274285263367348,50,5,1,0,4,0,3
RAL,17 Emily Przykucki,20,19,15,2,1,3,95.67030000000001,5.979741573625001,-3.5117399999999996,-0.23386271347333332,3,13,5,2,1,2,0
PORT,17 Kelsey Devlin,115,114,82,0,1,8,534.18926,5.087513063768,-67.0622,-0.8178140392170732,31,5,33,6,2,0,6
INDY,17 Kristin Dudley,114,111,88,0,3,10,578.0367800000001,5.898388757375674,83.23152000000002,0.9458011627479092,40,9,26,9,1,5,4
NASH,17 Rachel Barr,7,7,7,0,0,2,-32.754360000000005,-6.550459430720001,73.14484000000002,10.448136427857143,11,7,0,2,0,0,0
MKE,17 Rufus (Caitlin Duffner),19,17,18,3,2,4,11.322899999999999,0.8090272165300001,231.93894,12.885183536516667,17,3,1,2,2,1,2
DC,18 Caroline Tornquist,10,8,10,1,2,1,63.65986,7.956516335267501,106.63218,10.663027665880001,10,6,0,0,1,1,1
NY,18 Kylie Sterling,16,16,16,1,0,6,33.71708,-0.6793730974500002,124.56284,8.862545126266667,3,29,0,6,0,1,0
INDY,18 Laura Gerencser,94,92,79,1,2,1,420.0413000000001,4.719647567685124,-69.62216000000001,-0.8813109107602533,41,5,15,1,0,3,6
ATL,18 Naomi Anderson,40,36,26,3,2,10,167.63362,6.447364447258463,-7.227617774399999,-0.2780997187923077,12,17,12,9,1,0,1
RAL,18 Sarah McKee,12,10,12,2,2,3,35.40184,3.933058119555556,212.64078,17.719986660483336,6,16,0,1,2,0,0
PHL,18 Sumi Onoe,33,30,32,1,3,6,123.16252000000001,4.2470907527,282.29576000000003,8.821837790818751,6,42,1,1,5,0,2
DC,19 Allie Wallace,48,42,46,1,6,2,382.21078000000006,9.322173683550732,449.10888000000006,9.763515834922174,17,29,2,0,2,6,2
NASH,19 Bethany Bailey,1,1,1,0,0,0,-1.0393000000000001,-1.0374052576400001,6.37802,6.372623845000001,3,9,0,0,0,0,0
NY,19 Eastelle Ding,8,6,8,0,2,0,14.02508,2.337606104533333,97.70514000000001,12.212571308925,1,9,0,0,0,0,1
ATL,19 Elle Mayer,21,20,20,0,0,3,38.59021208860001,2.269865599864706,80.49652,4.024777912136,18,4,1,2,1,1,1
MKE,19 Emily Cohen,6,6,6,0,0,1,2.0020200000000004,0.4001430678719996,118.26140000000001,19.710668380666668,7,1,0,1,0,0,1
NY,19 Estelle Ding,21,19,21,2,2,2,57.194320000000005,4.098497231775,168.8589,8.041413997666666,9,37,0,2,0,3,2
MINN,19 Megan Randall,4,4,4,0,0,0,-22.525460000000002,-5.631621351550001,33.859300000000005,8.46595561618,2,18,0,0,0,0,0
PORT,19 Olivia Hampton,38,34,36,4,4,6,89.89398,3.1000487293165517,331.66798000000006,9.213131841540001,9,24,2,4,2,0,3
RAL,19 Sydney Kelley,0,0,0,0,0,0,0,NA,0,NA,4,4,0,0,0,0,0
ATX,19 Vanessa Bacorn,22,19,22,3,3,4,-0.9736599999999989,-0.05417553153777771,432.37068,19.653605277844548,4,18,0,1,3,1,1
RAL,20 Bridget Mizener,37,36,22,2,1,2,287.19688,8.702659412380122,52.41354,2.382702064878,2,16,15,2,0,3,3
PHL,20 Danielle Walsh,181,180,145,3,1,12,920.5681800000001,5.415169644468612,243.45876,1.6790499695040277,45,8,36,9,3,8,13
MKE,20 Madison Lang,31,30,25,0,1,4,151.61746000000002,6.064828287119201,14.0032,0.5597843461560001,17,1,6,4,0,2,1
NASH,20 Noel Holmes,33,32,27,1,1,5,174.05540000000002,6.446433428978519,38.519740000000006,1.4269727241081482,17,14,6,5,0,0,3
MKE,20 PJ (Madison Lang),38,38,27,0,0,3,179.24096000000003,5.431773116175152,116.95954,4.33160749133926,13,3,11,3,0,1,1
INDY,20 Shirley Saunders,14,12,14,1,2,2,45.13844,4.51332766482,182.77458000000001,13.054860544042858,18,11,0,2,0,1,1
ATL,20 Soju Hokari,61,61,46,2,0,6,296.7475,5.395437303776728,243.99482000000003,5.304244988238261,29,11,15,5,1,3,1
NY,20 Yina Cartagena,253,249,216,2,4,8,2450.47248,10.339543878941672,791.8700200000001,3.6660268077937967,70,20,37,7,1,29,19
MKE,21 Annie Shriver,61,57,56,5,4,19,164.99708000000004,4.124655386329501,545.4684000000001,9.740445089614287,59,8,5,16,3,2,1
NASH,21 Elena Rubino,10,8,10,3,2,2,43.27864,7.212425159366667,163.01694,16.30205695638,10,17,0,2,0,2,0
INDY,21 Elizabeth Burkhardt,6,6,3,0,0,1,-6.815620000000001,-1.70275140435,-13.42338,-4.475722220733334,1,16,3,1,0,0,0
DC,21 Jess Oh,88,85,74,3,3,4,583.1020000000001,7.110914193177318,157.08746000000002,2.122872480604054,6,42,14,2,2,6,8
PHL,21 Linda Morse,50,45,49,3,5,9,310.43344,8.16879448629579,661.88094,13.507683276077552,14,40,1,6,3,9,2
NY,21 Montana Roberts,15,14,15,1,1,2,105.34126,8.777806712433334,163.68428000000003,10.912948457786667,23,15,0,2,0,4,1
ATL,21 Samantha Li,49,47,43,0,2,3,180.60846,4.300405394973334,169.92008,3.951597501311163,34,2,6,2,1,0,1
MINN,21 Sarah Mondschein,27,24,23,3,3,10,157.68916000000002,8.299229640189475,331.88678000000004,14.430220498685218,16,45,4,5,5,4,2
MKE,22 Alex Ballinger,99,99,75,8,0,11,419.58182,4.936173031099295,319.68868000000003,4.262535068105867,31,55,24,10,1,4,12
INDY,22 Emily Wycoff,16,16,15,2,0,3,76.35026,5.872504522076923,128.11834000000002,8.542040173482668,9,38,1,3,0,0,0
DC,22 Erin McCann,35,33,32,9,2,1,114.26830000000001,3.808754213188667,295.13932,9.223167371570002,8,36,3,0,1,2,2
RAL,22 Julia Zwierzynski,7,5,7,2,2,2,55.104780000000005,13.7754689669,147.95256,21.13623958334286,6,15,0,1,1,1,0
PHL,22 Liz Hart,53,49,53,2,4,5,399.13496000000004,8.676762275213914,444.79852,8.392371956989246,36,9,0,2,3,6,2
NASH,22 Rebecca Henley,64,56,62,5,8,2,93.90896000000001,1.7389706868225927,742.6619000000001,11.978315684087098,52,12,2,2,0,2,2
ATX,22 Sydney Loughran,25,20,24,1,4,4,4.364298575999996,0.2730746623724997,225.56092,9.398120490648335,15,11,1,3,1,0,0
