Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-05-12 10:15:39,5,00 Maggie Rowell,1,0,0,0,0.9263889,0.88950616
2024-05-12 10:24:55,5,07 Shiru Liu,0,0,0,0,0.7083333,0.48580247
2024-05-12 10:49:59,8,26 Amy Broome,1,0,0,0,0.7402778,0.8617284
2024-05-12 11:09:45,11,73 Clara Stewart,0,0,0,0,0.29166666,0.682716
2024-05-12 11:20:06,14,12 Annie Ortiz,0,0,0,0,0.27361107,0.51358026
2024-05-12 12:06:46,24,71 Wren Vogel,0,0,0,0,0.52638894,0.72839504
2024-05-12 12:29:11,29,19 Vanessa Bacorn,0,0,0,0,0.26111108,0.8203704
